pretreatment_time_min,biomass_concentration_pct,enzyme_loading_fpugwis,substrate_loading_wv_pct,cellulose_digestibility_pct,glucose_yield_pct
30,10,50,3,30.64,29.16
30,20,5,3,33,31.56
30,25,5,3,31.01,29.36
60,10,5,3,39.79,30.07
60,20,5,3,34.05,31.09
60,25,5,3,27.75,24.9
90,10,5,3,36.88,31.87
90,20,5,3,35.24,30.72
90,25,5,3,29.64,25.2
150,10,5,3,48.01,37.8
150,20,5,3,38.69,30.77
150,25,5,3,41.69,31.68
30,10,5,5,23.87,22.72
30,20,5,5,25.72,24.6
30,25,5,5,24.27,22.97
60,10,5,5,31.02,25.12
60,20,5,5,26.44,24.14
60,25,5,5,21.64,19.42
90,10,5,5,28.75,24.85
90,20,5,5,27.39,23.88
90,25,5,5,23.04,19.58
150,10,5,5,37.42,29.47
150,20,5,5,30.17,23.99
150,25,5,5,32.53,24.72
30,10,5,5,19.49,15.55
30,20,5,5,21,20.08
30,25,5,5,19.81,15.75
60,10,5,5,25.32,22.96
60,20,5,5,21.59,19.72
60,25,5,5,17.66,15.85
90,10,5,5,23.48,20.29
90,20,5,5,22.37,19.5
90,25,5,5,18.81,15.99
150,10,5,5,30.55,24.06
150,20,5,5,24.63,19.59
150,25,5,5,26.66,20.18
30,10,15,3,46.49,44.24
30,20,15,3,50.08,47.9
30,25,15,3,47.2,44.68
60,10,15,3,60.4,54.75
60,20,15,3,51.55,47.07
60,25,15,3,42.13,37.81
90,10,15,3,55.99,45.39
90,20,15,3,53.38,40.54
90,25,15,3,44.9,35.17
150,10,15,3,72.87,57.38
150,20,15,3,58.75,40.71
150,25,15,3,63.32,45.12
30,10,15,50,39.56,37.05
30,20,15,5,42.61,40.75
30,25,15,5,40.07,37.93
60,10,15,5,51.38,46.57
60,20,15,5,43.94,40.12
60,25,15,5,35.83,32.16
90,10,15,5,47.62,41.1
90,20,15,5,45.47,39.65
90,25,15,5,38.25,32.52
150,10,15,5,61.99,48.81
150,20,15,5,49.96,39.73
150,25,15,5,53.84,40.91
30,10,15,8,32.18,30.63
30,20,15,8,34.66,33.15
30,25,15,8,32.6,30.86
60,10,15,8,41.8,37.89
60,20,15,8,35.75,32.64
60,25,15,8,29.15,26.1
90,10,15,8,38.74,33.48
90,20,15,8,37,32.26
90,25,15,8,31.12,26.46
150,10,15,8,50.44,39.71
150,20,15,8,40.65,32.32
150,25,15,8,43.8,33.28
30,10,30,3,50.76,48.31
30,20,30,3,54.73,52.35
30,25,30,3,51.87,49.1
60,10,30,3,66.01,59.84
60,20,30,3,56.02,51.15
60,25,30,3,46.06,41.34
90,10,30,3,61.21,52.9
90,20,30,3,58.1,50.65
90,25,30,3,48.85,41.53
150,10,30,3,79.62,62.7
150,20,30,3,64.24,51.09
150,25,30,3,69.3,52.06
30,10,30,5,43.09,41.01
30,20,30,5,46.44,44.42
30,25,30,5,43.93,41.59
60,10,30,5,56.01,50.78
60,20,30,5,47.63,43.49
60,25,30,5,39.08,35.07
90,10,30,5,51.93,44.58
90,20,30,5,49.37,43.04
90,25,30,5,41.52,35.3
150,10,30,5,67.57,53.21
150,20,30,5,54.5,43.34
150,25,30,5,58.78,44.06
30,10,30,5,35.06,33.36
30,20,30,5,37.79,30.14
30,25,30,5,35.74,33.83
60,10,30,5,45.57,41.31
60,20,30,5,38.75,35.38
60,25,30,5,31.79,25.53
90,10,30,5,42.25,30.52
90,20,30,5,40.17,35.02
90,25,30,5,33.78,25.72
150,10,30,5,54.97,43.29
150,20,30,5,44.34,35.26
150,25,30,5,47.82,30.34
30,10,60,3,58.75,55.91
30,20,60,3,63.4,60.64
30,25,60,3,60.6,57.36
60,10,60,3,76.49,69.34
60,20,60,3,64.36,55.77
60,25,60,3,53.41,47.93
90,10,60,3,70.96,61.33
90,20,60,3,66.9,55.33
90,25,60,3,56.24,47.81
150,10,60,3,92.24,72.63
150,20,60,3,74.51,59.25
150,25,60,3,80.47,61.15
30,10,60,5,49.63,47.24
30,20,60,5,53.55,51.22
30,25,60,5,51.09,45.36
60,10,60,5,64.6,55.56
60,20,60,5,54.46,49.73
60,25,60,5,45.1,40.48
90,10,60,5,59.92,51.79
90,20,60,5,56.59,49.33
90,25,60,5,47.57,40.44
150,10,60,5,77.91,61.35
150,20,60,5,62.92,50.03
150,25,60,5,67.93,51.62
30,10,60,5,40.4,38.44
30,20,60,5,43.58,41.69
30,25,60,5,41.58,39.36
60,10,60,5,52.58,47.66
60,20,60,5,44.33,40.47
60,25,60,5,36.71,32.94
90,10,60,5,48.77,42.15
90,20,60,5,46.05,40.15
90,25,60,5,38.72,32.91
150,10,60,5,63.41,49.93
150,20,60,5,51.21,40.72
150,25,60,5,55.29,42.01
